order_id,line_id,customer_id,product_id,category,country,quantity,unit_price,discount_amount,order_timestamp,updated_at,status
O1001,1,C101,P101,Electronics,US,2,25.00,5.00,2026-01-15T10:00:00,2026-01-15T10:00:00,COMPLETED
O1001,2,C101,P102,Books,US,1,12.50,0.00,2026-01-15T10:00:00,2026-01-15T10:00:00,COMPLETED
O1002,1,C102,P103,Home,CA,3,10.00,3.00,2026-01-15T11:00:00,2026-01-15T11:00:00,COMPLETED
O1003,1,C103,P104,Electronics,US,1,100.00,10.00,2026-01-15T12:00:00,2026-01-15T12:00:00,COMPLETED
O1003,1,C103,P104,Electronics,US,2,100.00,20.00,2026-01-15T12:00:00,2026-01-15T13:00:00,COMPLETED
O1004,1,C104,P105,Books,GB,2,15.00,0.00,2026-01-15T14:00:00,2026-01-15T14:00:00,COMPLETED
O1005,1,C105,P106,Home,US,1,50.00,0.00,2026-01-15T15:00:00,2026-01-15T16:00:00,CANCELLED
O1006,1,C101,P107,Books,US,4,7.50,2.00,2026-01-16T10:00:00,2026-01-16T10:00:00,COMPLETED
O1007,1,C102,P108,Electronics,CA,1,200.00,25.00,2026-01-16T11:00:00,2026-01-16T11:00:00,COMPLETED
O1008,1,C103,P109,Home,GB,2,20.00,0.00,2026-01-16T12:00:00,2026-01-16T12:00:00,COMPLETED
O1009,1,C104,P110,Books,US,2,8.00,1.00,2026-01-16T13:00:00,2026-01-16T13:00:00,COMPLETED
O1009,1,C104,P110,Books,US,3,8.00,1.00,2026-01-16T13:00:00,2026-01-16T14:00:00,COMPLETED
BAD01,1,C201,P201,Books,US,1.5,10.00,0.00,2026-01-16T15:00:00,2026-01-16T15:00:00,COMPLETED
BAD02,1,C202,P202,Home,US,1,-5.00,0.00,2026-01-16T15:00:00,2026-01-16T15:00:00,COMPLETED
BAD03,1,C203,P203,Books,US,1,10.00,11.00,2026-01-16T15:00:00,2026-01-16T15:00:00,COMPLETED
BAD04,1,C204,P204,Books,US,1,10.00,0.00,not-a-timestamp,2026-01-16T15:00:00,COMPLETED
BAD05,1,,P205,Books,US,1,10.00,0.00,2026-01-16T15:00:00,2026-01-16T15:00:00,COMPLETED
BAD06,1,C206,P206,Books,US,1,10.00,0.00,2026-01-16T15:00:00,2026-01-16T15:00:00,PENDING
BAD07,1,C207,P207,Books,US,1,10.00,0.00,2026-01-16T15:00:00,2026-01-16T15:00:00,COMPLETED,unexpected-extra-column
O1002,1,C102,P103,Home,CA,0,10.00,3.00,2026-01-15T11:00:00,2026-01-16T20:00:00,COMPLETED
